date,home_team,score,away_team
04-02-2023,Brentford,3 - 0,Southampton
11-02-2023,Southampton,1 - 2,Wolves
18-02-2023,Chelsea,0 - 1,Southampton
25-02-2023,Leeds,1 - 0,Southampton
04-03-2023,Southampton,1 - 0,Leicester
12-03-2023,Man United,0 - 0,Southampton
15-03-2023,Southampton,0 - 2,Brentford
18-03-2023,Southampton,3 - 3,Tottenham
02-04-2023,West Ham,1 - 0,Southampton
08-04-2023,Southampton,1 - 4,Man City
15-04-2023,Southampton,0 - 2,Crystal Palace
21-04-2023,Arsenal,3 - 3,Southampton
27-04-2023,Southampton,0 - 1,Bournemouth
30-04-2023,Newcastle,3 - 1,Southampton
08-05-2023,Nott'm Forest,? - ?,Southampton
06-08-2022,Tottenham,4 - 1,Southampton
14-08-2022,Chelsea,2 - 2,Tottenham
20-08-2022,Tottenham,1 - 0,Wolves
28-08-2022,Nott'm Forest,0 - 2,Tottenham
31-08-2022,West Ham,1 - 1,Tottenham
03-09-2022,Tottenham,2 - 1,Fulham
17-09-2022,Tottenham,6 - 2,Leicester
01-10-2022,Arsenal,3 - 1,Tottenham
08-10-2022,Brighton,0 - 1,Tottenham
15-10-2022,Tottenham,2 - 0,Everton
19-10-2022,Man United,2 - 0,Tottenham
23-10-2022,Tottenham,1 - 2,Newcastle
29-10-2022,Bournemouth,2 - 3,Tottenham
06-11-2022,Tottenham,1 - 2,Liverpool
12-11-2022,Tottenham,4 - 3,Leeds
26-12-2022,Brentford,2 - 2,Tottenham
01-01-2023,Tottenham,0 - 2,Aston Villa
04-01-2023,Crystal Palace,0 - 4,Tottenham
15-01-2023,Tottenham,0 - 2,Arsenal
19-01-2023,Man City,4 - 2,Tottenham
23-01-2023,Fulham,0 - 1,Tottenham
05-02-2023,Tottenham,1 - 0,Man City
11-02-2023,Leicester,4 - 1,Tottenham
19-02-2023,Tottenham,2 - 0,West Ham
26-02-2023,Tottenham,2 - 0,Chelsea
04-03-2023,Wolves,1 - 0,Tottenham
11-03-2023,Tottenham,3 - 1,Nott'm Forest
18-03-2023,Southampton,3 - 3,Tottenham
03-04-2023,Everton,1 - 1,Tottenham
08-04-2023,Tottenham,2 - 1,Brighton
15-04-2023,Tottenham,2 - 3,Bournemouth
23-04-2023,Newcastle,6 - 1,Tottenham
27-04-2023,Tottenham,2 - 2,Man United
30-04-2023,Liverpool,4 - 3,Tottenham
06-05-2023,Tottenham,? - ?,Crystal Palace
07-08-2022,West Ham,0 - 2,Man City
14-08-2022,Nott'm Forest,1 - 0,West Ham
21-08-2022,West Ham,0 - 2,Brighton
28-08-2022,Aston Villa,0 - 1,West Ham
31-08-2022,West Ham,1 - 1,Tottenham
03-09-2022,Chelsea,2 - 1,West Ham
18-09-2022,Everton,1 - 0,West Ham
01-10-2022,West Ham,2 - 0,Wolves
09-10-2022,West Ham,3 - 1,Fulham
16-10-2022,Southampton,1 - 1,West Ham
19-10-2022,Liverpool,1 - 0,West Ham
24-10-2022,West Ham,2 - 0,Bournemouth
30-10-2022,Man United,1 - 0,West Ham
06-11-2022,West Ham,1 - 2,Crystal Palace
12-11-2022,West Ham,0 - 2,Leicester
26-12-2022,Arsenal,3 - 1,West Ham
30-12-2022,West Ham,0 - 2,Brentford
04-01-2023,Leeds,2 - 2,West Ham
14-01-2023,Wolves,1 - 0,West Ham
21-01-2023,West Ham,2 - 0,Everton
04-02-2023,Newcastle,1 - 1,West Ham
11-02-2023,West Ham,1 - 1,Chelsea
19-02-2023,Tottenham,2 - 0,West Ham
25-02-2023,West Ham,4 - 0,Nott'm Forest
04-03-2023,Brighton,4 - 0,West Ham
12-03-2023,West Ham,1 - 1,Aston Villa
02-04-2023,West Ham,1 - 0,Southampton
05-04-2023,West Ham,1 - 5,Newcastle
08-04-2023,Fulham,0 - 1,West Ham
16-04-2023,West Ham,2 - 2,Arsenal
23-04-2023,Bournemouth,0 - 4,West Ham
26-04-2023,West Ham,1 - 2,Liverpool
29-04-2023,Crystal Palace,4 - 3,West Ham
03-05-2023,Man City,3 - 0,West Ham
07-05-2023,West Ham,? - ?,Man United
06-08-2022,Leeds,2 - 1,Wolves
13-08-2022,Wolves,0 - 0,Fulham
20-08-2022,Tottenham,1 - 0,Wolves
28-08-2022,Wolves,1 - 1,Newcastle
31-08-2022,Bournemouth,0 - 0,Wolves
03-09-2022,Wolves,1 - 0,Southampton
17-09-2022,Wolves,0 - 3,Man City
01-10-2022,West Ham,2 - 0,Wolves
08-10-2022,Chelsea,3 - 0,Wolves
15-10-2022,Wolves,1 - 0,Nott'm Forest
18-10-2022,Crystal Palace,2 - 1,Wolves
23-10-2022,Wolves,0 - 4,Leicester
29-10-2022,Brentford,1 - 1,Wolves
05-11-2022,Wolves,2 - 3,Brighton
12-11-2022,Wolves,0 - 2,Arsenal
26-12-2022,Everton,1 - 2,Wolves
31-12-2022,Wolves,0 - 1,Man United
04-01-2023,Aston Villa,1 - 1,Wolves
14-01-2023,Wolves,1 - 0,West Ham
22-01-2023,Man City,3 - 0,Wolves
04-02-2023,Wolves,3 - 0,Liverpool
11-02-2023,Southampton,1 - 2,Wolves
18-02-2023,Wolves,0 - 1,Bournemouth
24-02-2023,Fulham,1 - 1,Wolves
01-03-2023,Liverpool,2 - 0,Wolves
04-03-2023,Wolves,1 - 0,Tottenham
12-03-2023,Newcastle,2 - 1,Wolves
18-03-2023,Wolves,2 - 4,Leeds
01-04-2023,Nott'm Forest,1 - 1,Wolves
08-04-2023,Wolves,1 - 0,Chelsea
15-04-2023,Wolves,2 - 0,Brentford
22-04-2023,Leicester,2 - 1,Wolves
25-04-2023,Wolves,2 - 0,Crystal Palace
29-04-2023,Brighton,6 - 0,Wolves
06-05-2023,Wolves,? - ?,Aston Villa
